Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
21 Jun 2024,Zepto,Consumer Services,Hyperlocal Delivery,B2C,$665 Mn,Series F,"Glade Brook, Nexus, StepStone, Goodwater, Lachy Groom, Avenir Growth, Lightspeed, Avra","Glade Brook, Nexus, StepStone"
18 Jun 2024,Aye Finance,Fintech,Lendingtech,B2B,$30 Mn,Debt,FMO,FMO
18 Jun 2024,Bira 91,Alcoholic Beverages,Alcoholic Beverages,B2C,$25 Mn,Debt,Kirin Holdings,Kirin Holdings
21 Jun 2024,EKA Mobility,Cleantech,Electric Vehicles,B2B,$23.9 Mn,–,Mitsui and Co. Ltd,Mitsui and Co. Ltd
20 Jun 2024,OrbitShift,Enterprisetech,Horizontal SaaS,B2B,$7 Mn,Seed,"Peak XV Partners, Stellaris Venture Partners",Peak XV Partners
18 Jun 2024,Alyve Health,Healthtech,Fitness & Wellness,B2B,$5.5 Mn,Series A,"Axilor Ventures, 1Crowd Fund, Inhealth Ventures, Trifecta Capital",Axilor Ventures
19 Jun 2024,AVIOM Housing Finance,Fintech,Lendingtech,B2C,$5 Mn,Debt,InsuResilience Investment Fund,InsuResilience Investment Fund
19 Jun 2024,Balwaan Krishi,Agritech,Farm Inputs,B2C,$4.8 Mn,Series A,JM Financial Private Equity,JM Financial Private Equity
19 Jun 2024,The Pant Project,Ecommerce,D2C,B2C,$4.2 Mn,Series A,"Sorin Investments, MGA Ventures, Huddle, Dexter Ventures, Indian Silicon Valley, Arjun Vaidya, Avni Biyani, Nikhil Bhandarkar, Vijay Taparia",Sorin Investments
19 Jun 2024,Supermoney,Fintech,Lendingtech,B2B,$3.4 Mn,Series A,"Capital 2B, Capria Ventures",–
20 Jun 2024,Distil,Ecommerce,B2B Ecommerce,B2B,$3.1 Mn,Seed,"Jungle Ventures, IndiaQuotient","Jungle Ventures, IndiaQuotient"
18 Jun 2024,Maxim AI,Enterprisetech,Horizontal SaaS,B2B,$3 Mn,Seed,"Elevation Capital, Postman, Chargebee, Groww, Razorpay, Media.net",Elevation Capital
21 Jun 2024,MeetRecord,Enterprisetech,Horizontal SaaS,B2B,$2.7 Mn,pre-Series A,"SWC Global, All In Capital",SWC Global
21 Jun 2024,Jupiter,Fintech,Banking,B2C,$2.4 Mn,–,"Peak XV Partners, Matrix Partners India, BEE Accelerate Fund, QED Fund, Global Founders Capital, Tiger Global",–
19 Jun 2024,POP,Fintech,Payments,B2C,$2.4 Mn,Seed,IndiaQuotient,IndiaQuotient
20 Jun 2024,Unikon.ai,Media & Entertainment,Social Media & Chat,B2C-B2B,$2 Mn,Seed,"Nikhil Kamath, Peyush Bansal, Vishesh Khurana, Dholakia Ventures, Nitin Jain, Vasant Sridhar, Gaurav Khatri, Tanmay Bhatt, Raj Shamani, Arjun Vaidya, Sharan Hegde, Ganeshprasad, Shlok Shrivastava, Rahul Malodia",–
21 Jun 2024,EUME,Ecommerce,D2C,B2C,$1.7 Mn,pre-Series A,Ashish Kacholia,Ashish Kacholia
17 Jun 2024,Prosperr.io,Fintech,Investment Tech,B2C,$1.5 Mn,pre-Seed,"Pinterest, Gokul Rajaram, Vinodh Bhat, Ramakant Sharma, Kunal Shah","Pinterest, Gokul Rajaram"
18 Jun 2024,GreyLabs AI,Enterprisetech,Horizontal SaaS,B2B,$1.5 Mn,Seed,"Matrix Partners India, Vasant Sridhar, Narasimha Reddy, Nitin Gupta, Anil Goteti",Matrix Partners India
18 Jun 2024,Ayna,Enterprisetech,Horizontal SaaS,B2B,$1.5 Mn,Seed,"Inflexor Ventures, Praveen Sinha, Mayank Khera.",Inflexor Ventures
19 Jun 2024,Go Zero,Ecommerce,D2C,B2C,$1.5 Mn,pre-Series A,"DSG Consumer Partners, Saama Capital, V3 Ventures, Arjun Purkayastha",–
20 Jun 2024,Asaya,Ecommerce,D2C,B2C,$1.5 Mn,Seed,"OTP Ventures, Huddle Ventures, Eternal Capital","OTP Ventures, Huddle Ventures"
18 Jun 2024,HealthPresso,Enterprisetech,Horizontal SaaS,B2B,$1 Mn,pre-Series A,–,–
18 Jun 2024,Rockit,Logistics,Ecommerce Logistics,B2C,$700K,Seed,"Sauce.vc, Rannvijay Singha",Sauce.vc
20 Jun 2024,Metis,Fintech,Fintech SaaS,B2B,$155K,–,Inflection Point Ventures,Inflection Point Ventures
18 Jun 2024,Landeed,Real Estate Tech,Real Estate SaaS,B2C,–,Seed,Paradigm Shift VC,Paradigm Shift VC
18 Jun 2024,LEO1,Fintech,Lendingtech,B2C,–,–,Rohit Sharma,Rohit Sharma
20 Jun 2024,Quidich Innovation Labs,Deeptech,Dronetech,B2B,–,Series A,Centre Court Capital,Centre Court Capital
,"Source: Inc42
*Part of a larger round
Note: Only disclosed funding rounds have been included",
